thingId;G;F;D
28900;0.08;0.16;0.5
28901;0.44;0.45;0.97
28902;0.43;0.44;0.98
28903;0.45;0.46;0.98
28904;0.47;0.48;0.97
28905;0.44;0.45;0.97
28906;0.42;0.44;0.96
28907;0.47;0.48;0.97
28908;0.9;0.9;1.0
28909;0.9;0.9;1.0
28910;0.9;0.9;1.0
28911;0.9;0.9;1.0
28912;0.9;0.9;1.0
28913;0.9;0.9;1.0
28914;0.9;0.9;1.0
28915;0.44;0.44;1.0
28916;0.44;0.44;1.0
28917;0.45;0.45;1.0
28918;0.45;0.45;1.0
28919;0.45;0.45;1.0
28920;0.46;0.46;1.0
28921;0.46;0.46;1.0
28922;0.47;0.47;1.0
28923;0.46;0.46;1.0
28924;0.46;0.46;1.0
28925;0.47;0.47;1.0
28926;0.46;0.46;1.0
28927;0.48;0.48;1.0
28928;0.46;0.46;1.0
28929;0.48;0.48;1.0
28930;0.45;0.45;1.0
28931;0.49;0.49;1.0
28932;0.46;0.46;1.0
28933;0.45;0.45;1.0
28934;0.47;0.47;1.0
28935;0.47;0.47;1.0
28936;0.48;0.48;1.0
28937;0.46;0.46;1.0
28888;0.88;0.9;0.98
28889;0.88;0.9;0.98
28890;0.88;0.9;0.98
28891;0.88;0.9;0.98
28892;0.88;0.9;0.98
28893;0.46;0.47;0.98
28894;0.45;0.46;0.98
28895;0.43;0.44;0.98
28896;0.44;0.45;0.97
28897;0.46;0.47;0.98
28898;0.44;0.45;0.98
28899;0.47;0.48;0.97
28900;0.08;0.16;0.5
28901;0.44;0.45;0.98
28902;0.43;0.44;0.98
28903;0.46;0.46;0.99
28904;0.48;0.49;0.98
28905;0.45;0.46;0.98
28906;0.42;0.44;0.97
28907;0.45;0.46;0.98
28908;0.9;0.9;1.0
28909;0.9;0.9;1.0
28910;0.9;0.9;1.0
28911;0.9;0.9;1.0
28912;0.9;0.9;1.0
28913;0.9;0.9;1.0
28914;0.9;0.9;1.0
28915;0.45;0.45;1.0
28916;0.44;0.44;1.0
28917;0.46;0.46;1.0
28918;0.46;0.46;1.0
28919;0.45;0.45;1.0
28920;0.46;0.46;1.0
28921;0.46;0.46;1.0
28922;0.47;0.47;1.0
28923;0.47;0.47;1.0
28924;0.46;0.46;1.0
28925;0.46;0.46;1.0
28926;0.46;0.46;1.0
28927;0.48;0.48;1.0
28928;0.46;0.46;1.0
28929;0.48;0.48;1.0
28930;0.46;0.46;1.0
28931;0.47;0.47;1.0
28932;0.46;0.46;1.0
28933;0.46;0.46;1.0
28934;0.47;0.47;1.0
28935;0.46;0.46;1.0
28936;0.47;0.47;1.0
28937;0.47;0.47;1.0
28888;0.89;0.9;0.99
28889;0.89;0.9;0.99
28890;0.89;0.9;0.99
28891;0.88;0.9;0.98
28892;0.89;0.9;0.99
28893;0.46;0.46;0.99
28894;0.45;0.46;0.98
28895;0.45;0.45;0.99
28896;0.43;0.44;0.97
28897;0.45;0.46;0.98
28898;0.45;0.45;0.99
28899;0.48;0.49;0.98
28900;0.08;0.16;0.5
28901;0.46;0.46;0.99
28902;0.44;0.44;0.99
28903;0.46;0.46;0.99
28904;0.47;0.48;0.99
28905;0.46;0.46;0.99
28906;0.43;0.44;0.98
28907;0.45;0.46;0.98
28908;0.9;0.9;1.0
28909;0.9;0.9;1.0
28910;0.9;0.9;1.0
28911;0.9;0.9;1.0
28912;0.9;0.9;1.0
28913;0.9;0.9;1.0
28914;0.9;0.9;1.0
28915;0.44;0.44;1.0
28916;0.45;0.45;1.0
28917;0.46;0.46;1.0
28918;0.46;0.46;1.0
28919;0.46;0.46;1.0
28920;0.47;0.47;1.0
28921;0.46;0.46;0.99
28922;0.46;0.46;1.0
28923;0.47;0.47;1.0
28924;0.46;0.46;1.0
28925;0.46;0.46;1.0
28926;0.45;0.45;1.0
28927;0.47;0.47;1.0
28928;0.45;0.45;1.0
28929;0.46;0.46;1.0
28930;0.46;0.46;1.0
28931;0.45;0.45;1.0
28932;0.45;0.45;1.0
28933;0.46;0.46;1.0
28934;0.47;0.47;1.0
28935;0.46;0.46;1.0
28936;0.48;0.48;1.0
28937;0.47;0.47;1.0
28888;0.89;0.9;0.99
28889;0.89;0.9;0.99
28890;0.89;0.9;0.99
28891;0.89;0.9;0.99
28892;0.89;0.9;0.99
28893;0.46;0.46;0.99
28894;0.46;0.46;0.99
28895;0.45;0.45;0.99
28896;0.44;0.45;0.98
28897;0.46;0.46;0.99
28898;0.45;0.45;0.99
28899;0.47;0.48;0.99
28900;0.08;0.16;0.5
28901;0.46;0.47;0.99
28902;0.44;0.44;0.99
28903;0.45;0.45;0.99
28904;0.47;0.48;0.99
28905;0.46;0.46;0.99
28906;0.44;0.44;0.99
28907;0.46;0.46;0.99
28908;0.9;0.9;1.0
28909;0.9;0.9;1.0
28910;0.9;0.9;1.0
28911;0.9;0.9;1.0
28912;0.9;0.9;1.0
28913;0.9;0.9;1.0
28914;0.9;0.9;1.0
28915;0.45;0.45;1.0
28916;0.46;0.46;1.0
28917;0.46;0.46;1.0
28918;0.47;0.47;1.0
28919;0.45;0.45;1.0
28920;0.46;0.46;1.0
28921;0.46;0.46;0.99
28922;0.45;0.45;1.0
28923;0.47;0.47;1.0
28924;0.46;0.46;1.0
28925;0.46;0.46;1.0
28926;0.45;0.45;1.0
28927;0.47;0.47;1.0
28928;0.45;0.45;1.0
28929;0.46;0.46;1.0
28930;0.46;0.46;1.0
28931;0.45;0.45;1.0
28932;0.45;0.45;1.0
28933;0.46;0.46;1.0
28934;0.47;0.47;1.0
28935;0.46;0.46;1.0
28936;0.46;0.46;1.0
28937;0.47;0.47;1.0
28888;0.89;0.9;0.99
28889;0.89;0.9;0.99
28890;0.89;0.9;0.99
28891;0.89;0.9;0.99
28892;0.89;0.9;0.99
28893;0.46;0.46;0.99
28894;0.46;0.46;0.99
28895;0.46;0.46;0.99
28896;0.44;0.45;0.98
28897;0.46;0.47;0.99
28898;0.45;0.45;0.99
28899;0.47;0.48;0.99
28900;0.08;0.16;0.5
28901;0.46;0.47;0.99
28902;0.44;0.44;0.99
28903;0.46;0.46;0.99
28904;0.47;0.48;0.99
28905;0.46;0.46;0.99
28906;0.45;0.45;0.99
28907;0.46;0.46;0.99
28908;0.9;0.9;1.0
28909;0.9;0.9;1.0
28910;0.9;0.9;1.0
28911;0.9;0.9;1.0
28912;0.9;0.9;1.0
28913;0.9;0.9;1.0
28914;0.9;0.9;1.0
28915;0.45;0.45;1.0
28916;0.46;0.46;1.0
28917;0.46;0.46;1.0
